"","artist_name","genre","track_name","track_id","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","Born","Death","X","period"
"6036","Pérotin","Classical","Beata Viscera","3rZK9LQ3YxLgGOfc35D3Xn",34,0.993,0.198,372600,0.0336,0.0136,"G#",0.0735,-25.179,"Minor",0.0562,84.833,"5/4",0.0662,1160,"c1220","","ancient_medieval_renaissance"
"6037","Pérotin","Classical","Beata viscera (monophonic conductus)","1gB7qtssuV9OCnlUnqhoYh",37,0.993,0.263,374000,0.0733,0.123,"C#",0.285,-24.833,"Minor",0.0438,103.947,"4/4",0.0349,1160,"c1220","","ancient_medieval_renaissance"
"3424","Guillaume de Machaut","Classical","Messe de Nostre Dame: Sanctus","5NOQ0S9kFSQI971qdZHp0L",29,0.991,0.161,295800,0.0988,0.000255,"A",0.0767,-22.907,"Minor",0.037,132.28,"4/4",0.0488,1300,"77","","ancient_medieval_renaissance"
"3425","Guillaume Dufay","Classical","Missa ""Se la face ay pale"": V. Agnus Dei","3RKIkjJrm5x1OWlDNSuTsU",31,0.992,0.106,251080,0.164,1.15e-05,"A#",0.174,-21.809,"Major",0.0416,82.467,"4/4",0.124,1397,"1474","","ancient_medieval_renaissance"
"3426","Guillaume Dufay","Classical","Franc cuer Gentil","1fa6ylvMVU3WO14qIXqJUx",32,0.994,0.476,123240,0.0685,0.938,"F",0.115,-25.317,"Major",0.0556,124.512,"4/4",0.581,1397,"1474","","ancient_medieval_renaissance"
"3427","Guillaume Dufay","Classical","Se la face ay pale","6FBypqcjRWD6vlIEAFtuMi",33,0.972,0.23,148760,0.147,0.954,"D#",0.131,-17.926,"Major",0.0401,119.616,"3/4",0.459,1397,"1474","","ancient_medieval_renaissance"
"3428","Guillaume Dufay","Classical","Ce moys de may","7uIzpO1qrgdHY5MMBDEXeb",26,0.928,0.351,180573,0.0903,5.01e-05,"A",0.102,-21.996,"Minor",0.0417,112.954,"3/4",0.27,1397,"1474","","ancient_medieval_renaissance"
"3429","Guillaume Dufay","Classical","Ave maris stella","74ZO67W83WAwvOopHFiQ7j",34,0.987,0.173,286480,0.0446,0.00196,"A",0.0994,-28.398,"Minor",0.0496,70.054,"3/4",0.0624,1397,"1474","","ancient_medieval_renaissance"
"3430","Guillaume Dufay","Classical","Flos florum","2vZ5DS0drDN0BTWbD4O0sm",27,0.993,0.11,233147,0.142,0.000466,"G#",0.0962,-19.657,"Major",0.0521,77.558,"3/4",0.0721,1397,"1474","","ancient_medieval_renaissance"
"3431","Guillaume Dufay","Classical","O tres piteulx – Omnes amici eius","7iQdTFJtemOPPiokQXyh2L",33,0.992,0.215,186627,0.0923,0.156,"E",0.142,-21.131,"Major",0.0456,108.691,"4/4",0.0858,1397,"1474","","ancient_medieval_renaissance"
"3432","Guillaume Dufay","Classical","Balsamus et Munda Cera","43oge5gTbhnXsZjXda7w6T",27,0.995,0.214,250837,0.192,0.000541,"A",0.103,-10.126,"Minor",0.039,89.542,"4/4",0.4,1397,"1474","","ancient_medieval_renaissance"
"3433","Guillaume Dufay","Classical","Adieu ces bons vins de Lannoys","3mxSxVTqSKDVQo3cEQdPjr",26,0.991,0.327,337627,0.0386,0.00918,"D",0.0591,-23.36,"Minor",0.0483,69.175,"4/4",0.192,1397,"1474","","ancient_medieval_renaissance"
"3434","Guillaume Dufay","Classical","Nuper rosarum flores / Terribilis est","5x3XZeWbj1vFLG9hSQLbYi",29,0.994,0.18,418240,0.0716,0.581,"D",0.125,-18.78,"Minor",0.0436,130.354,"4/4",0.0586,1397,"1474","","ancient_medieval_renaissance"
"3435","Guillaume Dufay","Classical","Missa ""Ecce ancilla Domini / Beata es Maria"": I. Kyrie","0yNbcON3iY5ALEpzkvfBJx",26,0.984,0.141,311520,0.169,0.000283,"D",0.088,-21.483,"Major",0.0368,80.218,"4/4",0.111,1397,"1474","","ancient_medieval_renaissance"
"3436","Guillaume Dufay","Classical","Convertimini ad me / Audi, benigne Conditor","14yNzaczHqibD0hpOLz1Is",27,0.987,0.217,170840,0.0882,0.388,"C#",0.133,-26.375,"Minor",0.0435,130.039,"3/4",0.0572,1397,"1474","","ancient_medieval_renaissance"
